
robotV3: Command not recognized.


robotV3 >> sm 120 120
Motor Vectors: [120, 120]


robotV3 >> log 120


robotV3 >> a,b
28275992,28178748
28277196,28179744
28278276,28180212
28279440,28181148
28280604,28182128
28281720,28183084
28282764,28183620
28284040,28184492
28285204,28185492
28286232,28186464
28287512,28186948
28288640,28187800
28289768,28188848
28290972,28189780
28292064,28190260
28293236,28191152
28294396,28192168
28295516,28193132
28296560,28193636
28297832,28194572
28299000,28195556
28300024,28196508
28301312,28197040
28302432,28197912
28303560,28198912
28304764,28199876
28305852,28200372
28307024,28201212
28308188,28202260
28309304,28203200
28310352,28203676
28311628,28204568
28312792,28205588
28313824,28206552
28315100,28207052
28316228,28207988
28317364,28208976
28318560,28209924
28319652,28210456
28320824,28211320
28321988,28212320
28323108,28213288
28324156,28213784
28325428,28214620
28326592,28215672
28327624,28216608
28328912,28217080
28330032,28217980
28331168,28219000
28332368,28219956
28333464,28220460
28334632,28221392
28335792,28222380
28336916,28223328
28337964,28223864
28339240,28224728
28340404,28225720
28341440,28226692
28342716,28227180
28343848,28228036
28344980,28229080
28346188,28230012
28347276,28230484
28348448,28231384
28349616,28232408
28350740,28233360
28351784,28233868
28353064,28234796
28354228,28235784
28355256,28236728
28356536,28237264
28357668,28238128
28358800,28239116
28360004,28240092
28361092,28240580
28362264,28241436
28363428,28242484
28364552,28243420
28365596,28243896
28366884,28244796
28368040,28245816
28369080,28246772
28370356,28247280
Stop

