
robotV3: Command not recognized.


robotV3 >> bs
robotV3: Command not recognized.


robotV3 >> cpuy
robotV3: Command not recognized.


robotV3 >> cpu
168 us, min: 164 us, max: 176
3% used for 5ms loop time.


robotV3 >> sm 100 100
Motor Vectors: [100, 100]


robotV3 >> cpu
228 us, min: 164 us, max: 352
4% used for 5ms loop time.


robotV3 >> bs

274465488,1816,2973
274467284,4960,4562
274469096,2866,2938
274470936,2969,2864
274472732,3756,2955
274474588,2769,2988
274476368,2875,2181
274478200,2952,3717
274480004,1799,3798
274481824,1845,2823
274483640,2849,4307
274485456,2943,4353
274487276,3556,2013
274489096,1830,6063
274490912,2788,2753
274492728,2877,2815
274494576,2973,5017
274496364,2731,8830
274498200,2786,3717
274500000,2884,2929
274501820,2969,2114
274503636,1805,2891
274505456,1850,2938
274507304,2838,5204
274509088,2948,2891
274510908,1783,2952
274512724,1835,4644
274514544,2788,2075
274516360,2882,2815
274518212,2980,2860
274519996,3676,2938
274521848,2786,5216
274523632,2891,5017
274525460,2973,2091
274527268,1810,3564
274529084,2786,5787
274530904,2866,2950
274532720,2955,3036
274534540,3644,2804
274536356,2761,2142
274538176,2798,2904
274539996,2889,2976
274541844,2990,3792
274543636,1816,2938
274545468,2800,2976
274547264,2906,3053
274549080,3891,2108
274550900,3631,2866
274552716,2794,5126
274554544,6699,5952
274556352,2962,2049
274558172,1789,2290
274559988,2767,3529
274561808,2806,2781
274563624,2897,2959
274565444,7079,4521
274567260,1824,2087
274569080,2817,2127
p274570980,2866,2845
274572836,2927,5952
274574616,1793,4450
274576468,1826,3732
274578252,2840,5809
274580072,2920,2226
274581964,2973,2955
274583708,5454,4179
274585524,2769,2832
274587344,2856,2966
274589160,2971,2943
274591012,1789,4478
274592804,2775,2757
274594612,2871,4210
274596432,2955,3567
274598284,4019,2869
274600068,1842,5171
274601884,6633,3026
274603704,2931,2798
274605520,1773,2851
274607340,1823,4320
274609164,2773,6628
274610972,2871,3026
274612944,4841,4478
274614616,1803,2230
274616428,2788,2266
274618244,2880,2828
274620064,2964,4313
274621880,1802,4326
274623700,2773,2934
274625560,4716,3723
274627336,2945,2057
274629152,1779,2042
274630972,3660,4254
274632788,2790,4357
274634604,2877,3705
274636500,7874,4464
274638276,1801,2980
274640060,2796,2832
274641876,2891,2911
274643704,2973,4422
274645548,1799,2983
274647332,1855,2175
274649148,4778,2959
274650964,5919,3789
274652784,1786,2307
274654600,2759,2817
274656420,2798,2880
274658236,2886,2936
274660132,2973,4432
274661872,1828,3817
274663692,2806,2089
274665508,2897,3553
274667344,6938,4307
274669144,1814,4595
274670960,1861,3019
274672780,2871,2089
274674596,2966,2823
274676416,1789,5024
274678232,2765,2943
274680048,2806,5326
274681876,2893,2916
274683688,3012,3679
274685540,1810,4467
274687324,2811,2071
274689140,2904,2111
274690988,2973,3543
274692776,1819,1965
274694592,2800,3348
274696412,2882,7584
274698316,2925,6865
274700048,1794,2109
274701864,2775,4326
274703684,6835,2950
274705500,2906,5187
274707320,1785,4569
274709136,1828,2111
274710952,2825,4343
274712772,2918,5143
274714624,2983,4415
274716408,1826,5305
274718224,2811,2198
274720152,2834,4471
274721888,2973,3783
274723680,3607,2860
274725496,2788,3696
274727488,6788,7452
274729132,2920,4439
274730984,2012,4485
274732768,5703,2077
274734584,2836,2105
274736404,2927,4254
u274738304,4944,4284
274740124,1803,2925
274741948,2769,5947
274743760,5707,5283
274745580,2948,2781
274747404,1778,2127
274749216,4612,2911
274751056,2777,3717
274752884,2862,2985
274754700,2978,2290
274756484,1812,4591
274758304,1865,5288
274760120,2889,2771
274761940,2973,2808
274763756,1808,2866
274765572,8351,2922
274767392,2862,3714
274769212,2952,3021
274771028,1784,2075
274772844,6438,3519
274774664,2796,3771
274776480,2891,2869
274778332,4976,3690
274780116,1816,3789
274781936,2811,2095
274783752,6761,2122
274785592,2973,2875
274787388,1814,3589
274789240,4622,5957
274791024,2873,4565
274792840,2964,2936
274794696,1778,4629
274796476,5539,2749
274798296,2811,2794
274800112,2900,2840
274801932,1781,2897
274803748,1832,2955
274805568,2819,4521
274807384,2916,2051
274809236,2983,2083
274811020,1828,6416
274812872,2788,3729
274814656,2889,2936
274816512,2955,2988
274818292,1798,2084
274820116,2775,2114
274821924,2821,2869
274823744,2911,5134
274825576,1784,3717
274827380,1834,2284
274829196,2834,2922
274831020,2922,2973
274832836,3012,3041
274834656,4960,3487
274836468,2813,5690
274838288,2906,2889
274840200,2929,3720
274841924,2715,2024
274843740,2783,2051
274845560,2823,2796
274847376,2918,4284
274849192,1790,2904
274851012,1834,2941
274852828,2834,2964
274854648,2929,3479
274856536,6944,5163
274858284,1840,2891
274860100,2819,2929
274861952,2882,4471
274863848,2929,3729
274865632,1780,6944
274867408,3695,2985
274869188,2834,2761
274871008,2931,2952
274872824,5384,5013
274874644,2761,2922
274876468,2838,2971
274878280,4901,3041
274880096,5891,4166
274881912,1840,4584
274883732,2832,2871
274885548,2916,5147
274887444,2973,3693
274889184,1815,3041
274891004,4674,3031
274892832,2845,4297
274894640,2950,2931
274896512,3568,3717
274898372,5910,2983
274900092,2853,4401
274901940,2934,2976
274903728,5690,5361
274905544,1845,2105
274907364,2840,2860
274909180,6835,2911
274911000,2633,4450
274912816,1820,4539
274914636,2813,4132
274916452,2856,4229
274918272,3930,3583
274920088,3623,2909
274921908,2781,2889
274923724,2864,4562
274925540,2966,4415
274927360,1798,2873
274929176,2781,2904
274930996,2853,3705
274932812,2938,3029
274934632,1764,2188
274936448,1830,2221
274938268,2825,4521
274940140,4964,2290
274941904,4936,4242
274943720,1818,3597
274945536,2796,3659
274947356,2877,3798
274949188,5938,5318
274950992,5686,2900
274952832,2779,3720
274954628,6684,2884

robotV3: Command not recognized.


robotV3 >> 274960860,18142,13851
274962852,4528,2875
274964668,6462,7329
274966516,2838,3720
274968304,2948,3798
274970120,2669,2084
274971940,1805,3537
274973756,2790,2862
274975576,2900,2920
274977460,2969,2952
274979216,2925,5322
274981028,3739,2117
274982844,2884,4267
274984664,2962,3628
274986484,5403,3714
274988372,6400,5195
274990116,2866,2175
274991936,2969,4425
274993788,2011,2990
274995572,3793,3454
274997388,2800,2819
274999204,2911,4293
275001056,4976,2911
275002844,1814,5933
275004660,2813,5296
275006484,4815,2061
275008296,2973,2114
275010112,1810,5021
275011932,2788,5809
275013748,2877,2962
275015568,2964,3033
275017384,1792,2811
275019200,2731,4367
275021020,2811,2889
275022840,2920,3685
275024656,5024,3036
275026524,3041,5361
275028292,4702,2219
275030108,2902,4525
275031940,2973,2891
275033744,5442,3524
275035564,2796,4313
275037396,4913,5195
275039296,4871,3711
275041016,1799,4580
275042892,6966,4108
275044652,2823,3717
275046468,2938,2893
275048288,5535,7376
275050128,1823,4464
275051924,2834,2966
275053740,4863,2821
275055656,2945,5933
275057376,6377,4404
275059220,2798,4464
275061012,2906,3605
275062864,2978,2922
275064684,1802,4569
275066464,5873,2773
